x,y,y_err
0.02,2.738805041308777,0.1
0.025,1.930784198071603,0.1
0.030000000000000002,1.650802695338221,0.1
0.035,1.3321517097343594,0.1
0.04000000000000001,0.7798964811346161,0.1
0.045000000000000005,0.6300159674424228,0.1
0.05,0.5905618180945065,0.1
0.05500000000000001,0.38548804023088235,0.1
0.06000000000000001,0.26915321758290434,0.1
0.065,0.048028940575975315,0.1
0.07,0.08793979748628286,0.1
0.07500000000000001,-0.055554139790438495,0.1
0.08000000000000002,-0.2642302635772119,0.1
0.08500000000000002,-0.3043881787684376,0.1
0.09000000000000001,-0.5310268435525733,0.1
0.09500000000000001,-0.8461631644169789,0.1
0.10000000000000002,-0.9381249215917505,0.1
0.10500000000000001,-1.3339834981781378,0.1
0.11000000000000001,-1.487912545626849,0.1
0.11500000000000002,-2.039775199794278,0.1
0.12000000000000002,-2.7268195696878617,0.1
